"init_tprime";"init_t";"init_p";"seed";"nm";"nf";"dm";"df";"base_surv";"base_mort";"a";"cp";"cs";"k";"fl";"fh";"control_p";"control_t";"control_tprime";"mu_t";"mu_p";"mu_tprime";"sdmu_t";"sdmu_p";"sdmu_tprime";"generation";"t";"p";"tprime";"var_t";"var_p";"var_tprime";"file"
0.01;0.01;0.2;1426793801;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000653247;0.0383928;0.0207959;0.00037402;0.000327103;0.000397976;"./output_1.csv"
0.01;0.01;0.2;951090699;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00738952;0.0346323;0.0313626;0.00040598;0.000445405;0.000258924;"./output_10.csv"
0.01;0.01;0.2;4236130831;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00585882;0.0272641;0.0142995;0.000748013;0.000621885;0.001189;"./output_100.csv"
0.01;0.01;0.2;3168285608;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00968759;0.0198623;-0.00448803;0.000564504;0.000847363;0.00118445;"./output_101.csv"
0.01;0.01;0.2;1835845026;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00133839;0.0244616;0.00933181;0.000636315;0.000213588;0.00113246;"./output_102.csv"
0.01;0.01;0.2;1651161623;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000759779;0.0311377;0.0156486;0.000486404;0.000111604;0.000773414;"./output_103.csv"
0.01;0.01;0.2;1274572409;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00212536;0.0351636;-0.00984076;0.000541993;0.000116357;0.000680928;"./output_104.csv"
0.01;0.01;0.2;1794101929;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00219368;0.0147839;0.0100805;0.000487159;0.0011523;0.00092883;"./output_105.csv"
0.01;0.01;0.2;3467794660;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0021579;0.0371981;-0.00164983;0.000489657;0.000225432;0.000718681;"./output_106.csv"
0.01;0.01;0.2;3867082636;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00125749;0.0118843;-0.00819314;0.000595654;0.00136774;0.00107173;"./output_107.csv"
0.01;0.01;0.2;2897852216;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00151158;0.0261548;0.000822899;0.00043887;0.000490778;0.00120713;"./output_108.csv"
0.01;0.01;0.2;1927927001;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;2;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0026797;0.0375344;0.00583754;0.00055921;0.000157944;0.000961451;"./output_109.csv"
0.01;0.01;0.2;346189960;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00760908;0.0209131;0.0128226;0.000405089;0.00102582;0.000883376;"./output_11.csv"
